职位,公司名称,薪资,城市,区域,经验要求,学历要求,领域,性质,规模,职位详情页,公司详情页
成本会计与出纳,广州鑫研锦增材科技,5-7千,广州,黄埔区,2年,本科,机械/设备/重工,民营,少于50人,https://jobs.51job.com/guangzhou-hpq/152019171.html?s=sou_sou_soulb&t=0_0&req=0d0a384a09a83bd32ad169f27cf463b1,https://jobs.51job.com/all/coAWEFZFA7VW8PYgBrBmo.html
设备工程师,天佑电器（苏州）,8千-1万·14薪,苏州,未知,3-4年,大专,家具/家电/玩具/礼品,外资（非欧美）,1000-5000人,https://jobs.51job.com/suzhou/152326930.html?s=sou_sou_soulb&t=0_0&req=0d0a384a09a83bd32ad169f27cf463b1,https://jobs.51job.com/all/coVjJVNFIwBD1UMVY3Vjo.html
销售代表/业务员,实威国际（研威）,15-30万/年,上海,闵行区,1年,大专,计算机软件,外资（非欧美）,150-500人,https://jobs.51job.com/shanghai-mhq/144669994.html?s=sou_sou_soulb&t=0_0&req=0d0a384a09a83bd32ad169f27cf463b1,https://jobs.51job.com/all/coUjZXNQVlBD5VMwRvAmY.html
高薪急聘普工/操作工,山克新能源科技（深圳）,5.5-7千,深圳,光明区,无需经验,,电子技术/半导体/集成电路,民营,50-150人,https://jobs.51job.com/shenzhen-gmq/118166637.html?s=sou_sou_soulb&t=0_0&req=0d0a384a09a83bd32ad169f27cf463b1,https://jobs.51job.com/all/coVjRSMl87VWsPY1QwVTA.html
亚马逊德语运营,广州蓝牧贸易,5千-1万,广州,白云区,1年,本科,贸易/进出口,民营,少于50人,https://jobs.51job.com/guangzhou-byq/146779009.html?s=sou_sou_soulb&t=0_0&req=0d0a384a09a83bd32ad169f27cf463b1,https://jobs.51job.com/all/coVDFQNQJhAzVVNA1mAm8.html
工业油品销售（无责底薪+高提成+年终奖）,鼎恳化工技术（上海）,5千-1万,宁波,鄞州区,1年,大专,机械/设备/重工,外资（非欧美）,50-150人,https://jobs.51job.com/ningbo-yzq/138106287.html?s=sou_sou_soulb&t=0_0&req=0d0a384a09a83bd32ad169f27cf463b1,https://jobs.51job.com/all/coBmJWNgRlUmtVNQZkXDg.html
SQE质量工程师,上海球明标准件,6-8千,上海,嘉定区,3-4年,大专,汽车,民营,150-500人,https://jobs.51job.com/shanghai-jdq/132966652.html?s=sou_sou_soulb&t=0_0&req=0d0a384a09a83bd32ad169f27cf463b1,https://jobs.51job.com/all/coBGBWNVY3ADYDZgxsUjE.html
PMC主管,深圳市正通仁禾科技,8千-1.2万,深圳,龙华区,3-4年,本科,仪器仪表/工业自动化,民营,150-500人,https://jobs.51job.com/shenzhen-lhq/152325582.html?s=sou_sou_soulb&t=0_0&req=0d0a384a09a83bd32ad169f27cf463b1,https://jobs.51job.com/all/coVjVVOFE0BTkGZVczBmo.html
CNC调试(J10594),无锡先导智能装备,8千-1万·13薪,无锡,未知,2年,高中,仪器仪表/工业自动化,已上市,10000人以上,https://jobs.51job.com/wuxi/152326470.html?s=sou_sou_soulb&t=0_0&req=0d0a384a09a83bd32ad169f27cf463b1,https://jobs.51job.com/all/coAGRcPVYzVGwAbVQyVDY.html
采购,深圳市紫宸激光设备,7千-1万,深圳,宝安区,3-4年,大专,机械/设备/重工,民营,少于50人,https://jobs.51job.com/shenzhen-baq/138261434.html?s=sou_sou_soulb&t=0_0&req=5ed30ca1b4d8d7963d16be465595bdd6,https://jobs.51job.com/all/coCWxUOVc3U29WMg1oBmU.html
托福雅思老师,南京美中教育咨询,8千-1.2万,南京,栖霞区,1年,本科,中介服务,民营,少于50人,https://jobs.51job.com/nanjing-qxq/141052085.html?s=sou_sou_soulb&t=0_0&req=5ed30ca1b4d8d7963d16be465595bdd6,https://jobs.51job.com/all/coBmQCZFUyAjlTNwBhUj4.html
审计项目经理,武汉永隆会计师事务所（普通合伙）,5-8千,武汉,武昌区,5-7年,大专,会计/审计,民营,少于50人,https://jobs.51job.com/wuhan-wcq/132577188.html?s=sou_sou_soulb&t=0_0&req=5ed30ca1b4d8d7963d16be465595bdd6,https://jobs.51job.com/all/coUzFXMwBkADxTPgNmVDI.html
物流运营主管,东方雨虹民用建材,8千-1万,绵阳,北川羌族自治县,1年,本科,建筑/建材/工程,已上市,500-1000人,https://jobs.51job.com/mianyang-bcqz/152324601.html?s=sou_sou_soulb&t=0_0&req=5ed30ca1b4d8d7963d16be465595bdd6,https://jobs.51job.com/all/coAmEHYlMwDjgPbwFhVzI.html
网络/在线客服,长安区阅阅商贸中心,210元/天,北京,未知,无需经验,,文字媒体/出版,民营,,https://jobs.51job.com/beijing/151206492.html?s=sou_sou_soulb&t=0_0&req=5ed30ca1b4d8d7963d16be465595bdd6,https://jobs.51job.com/all/coAG5WM1QwDjgFYAdmUDc.html
